epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,120.713,0.8964,1.21701,1.11422,0.2323,0.3109,0.23534,0.15084,1.62441,3.43733,2.00224,0.000560909,0.000560909,0.000560909
43,123.183,0.97456,1.23798,1.15515,0.17434,0.31837,0.17152,0.10783,1.64019,3.00269,1.92577,0.000555833,0.000555833,0.000555833
44,125.673,0.92397,1.22241,1.15844,0.14815,0.16122,0.14287,0.09028,1.551,2.90551,1.87922,0.000550758,0.000550758,0.000550758
45,128.192,0.90409,1.20744,1.10923,0.28482,0.12996,0.17666,0.1051,1.47975,2.88088,1.7069,0.000545682,0.000545682,0.000545682
46,130.814,0.90331,1.17357,1.11808,0.27099,0.16327,0.13898,0.09334,1.40246,2.9249,1.62444,0.000540607,0.000540607,0.000540607
47,133.37,0.92002,1.20846,1.13239,0.26331,0.12755,0.13115,0.09117,1.38304,2.76043,1.59914,0.000535532,0.000535532,0.000535532
48,135.878,0.90573,1.18118,1.12624,0.13989,0.16122,0.11674,0.07159,1.33275,2.84488,1.56036,0.000530456,0.000530456,0.000530456
49,138.382,0.87045,1.15024,1.12438,0.10558,0.14116,0.09837,0.0705,1.38627,3.04957,1.58874,0.000525381,0.000525381,0.000525381
50,140.985,0.8501,1.13016,1.09886,0.41269,0.06463,0.0749,0.04363,1.4868,3.02872,1.67666,0.000520305,0.000520305,0.000520305
51,143.604,0.87457,1.14335,1.11391,0.05636,0.07993,0.07163,0.0442,1.55071,3.01477,1.68407,0.00051523,0.00051523,0.00051523
52,146.175,0.87074,1.0917,1.099,0.33943,0.05612,0.05592,0.03318,1.51572,3.08979,1.64788,0.000510155,0.000510155,0.000510155
53,148.648,0.8341,1.07068,1.09368,0.76498,0.07993,0.07718,0.04522,1.42833,2.95194,1.65545,0.000505079,0.000505079,0.000505079
54,151.185,0.85509,1.06506,1.07724,0.55016,0.07993,0.06531,0.04233,1.50846,2.88484,1.68567,0.000500004,0.000500004,0.000500004
55,153.805,0.84736,1.07008,1.10484,0.56949,0.08316,0.0866,0.05885,1.43901,2.83406,1.69033,0.000494928,0.000494928,0.000494928
56,156.3,0.80091,1.04807,1.09022,0.29157,0.12407,0.12418,0.07513,1.49266,2.81468,1.72778,0.000489853,0.000489853,0.000489853
57,158.901,0.87735,1.05849,1.10367,0.61102,0.13265,0.15631,0.0928,1.63784,2.73476,1.86423,0.000484778,0.000484778,0.000484778
58,161.424,0.84868,1.02683,1.09104,0.40725,0.13265,0.15082,0.08938,1.58302,2.94879,1.7741,0.000479702,0.000479702,0.000479702
59,163.969,0.83073,0.98127,1.07679,0.66705,0.10852,0.13847,0.08519,1.56888,3.03563,1.76442,0.000474627,0.000474627,0.000474627
60,166.643,0.82642,0.97308,1.06005,0.3914,0.10374,0.13338,0.09384,1.58209,3.07254,1.80728,0.000469551,0.000469551,0.000469551
61,169.079,0.78567,0.97145,1.06773,0.41876,0.16133,0.17589,0.11307,1.53141,2.7784,1.75317,0.000464476,0.000464476,0.000464476
62,171.558,0.8084,0.95666,1.07065,0.29505,0.24562,0.18899,0.1198,1.49219,2.54589,1.75991,0.000459401,0.000459401,0.000459401
63,174.038,0.76549,0.92214,1.04078,0.63726,0.14783,0.17925,0.11428,1.46955,2.67907,1.71614,0.000454325,0.000454325,0.000454325
64,176.58,0.80362,0.94473,1.06173,0.334,0.17067,0.1822,0.10912,1.54034,2.89802,1.74598,0.00044925,0.00044925,0.00044925
65,179.07,0.78988,0.95108,1.069,0.20343,0.17281,0.22518,0.15255,1.51591,2.82704,1.76445,0.000444174,0.000444174,0.000444174
66,181.648,0.798,0.95249,1.05237,0.61956,0.14796,0.19164,0.13667,1.43762,2.71018,1.71055,0.000439099,0.000439099,0.000439099
67,184.185,0.78464,0.9504,1.07016,0.44054,0.14796,0.16767,0.11333,1.46873,2.73482,1.73098,0.000434024,0.000434024,0.000434024
68,186.66,0.74552,0.89967,1.02771,0.25226,0.11575,0.12701,0.09253,1.39312,2.75188,1.63132,0.000428948,0.000428948,0.000428948
69,189.201,0.79157,0.93667,1.05843,0.16771,0.14122,0.14937,0.08976,1.41488,2.76992,1.66539,0.000423873,0.000423873,0.000423873
70,191.797,0.7597,0.87512,1.03589,0.2335,0.12075,0.15046,0.09659,1.34449,2.74303,1.57869,0.000418797,0.000418797,0.000418797
71,194.289,0.76179,0.94427,1.04085,0.14285,0.1548,0.20349,0.11023,1.42069,2.61294,1.63989,0.000413722,0.000413722,0.000413722
72,196.817,0.79363,0.9017,1.0506,0.29746,0.2483,0.21136,0.10763,1.48285,2.58605,1.63951,0.000408647,0.000408647,0.000408647
73,199.469,0.75108,0.86054,1.0283,0.78385,0.15242,0.19552,0.10574,1.44827,2.52901,1.62231,0.000403571,0.000403571,0.000403571
74,201.988,0.70744,0.85226,1.04826,0.50084,0.1723,0.2,0.11479,1.58108,2.5724,1.77246,0.000398496,0.000398496,0.000398496
75,204.675,0.77919,0.86437,1.04545,0.55004,0.19601,0.212,0.13496,1.58841,2.45373,1.77401,0.00039342,0.00039342,0.00039342
76,207.202,0.75721,0.852,1.01914,0.66933,0.18954,0.19583,0.12798,1.49494,2.49662,1.72094,0.000388345,0.000388345,0.000388345
77,209.664,0.76303,0.87281,1.03848,0.6561,0.23075,0.24513,0.17174,1.45445,2.47763,1.76316,0.00038327,0.00038327,0.00038327
78,212.224,0.72953,0.81651,1.03073,0.65586,0.22913,0.25617,0.16733,1.45262,2.49751,1.74385,0.000378194,0.000378194,0.000378194
79,214.683,0.72299,0.82985,1.03885,0.8165,0.21309,0.22654,0.16471,1.47401,2.48361,1.80722,0.000373119,0.000373119,0.000373119
80,217.158,0.74052,0.83102,1.02932,0.60393,0.28874,0.26551,0.20475,1.55979,2.47871,1.84852,0.000368043,0.000368043,0.000368043
81,219.846,0.73081,0.82097,1.03527,0.43246,0.28818,0.2659,0.20003,1.53344,2.44774,1.75036,0.000362968,0.000362968,0.000362968
82,222.512,0.71608,0.82868,1.02156,0.76714,0.23615,0.24712,0.18464,1.41643,2.43076,1.64589,0.000357893,0.000357893,0.000357893
83,225.268,0.73391,0.83077,1.03186,0.84655,0.26667,0.28234,0.21373,1.43857,2.34958,1.67642,0.000352817,0.000352817,0.000352817
84,227.864,0.69809,0.81293,1.03449,0.7244,0.24239,0.27038,0.19714,1.47256,2.40061,1.68687,0.000347742,0.000347742,0.000347742
