image_name,confidence_value,IoU_value
IMG_20180713_105001.jpg,0.354316771030426,0.8030392527580261
IMG_20100101_032102.jpg,0.7348672151565552,0.07379945367574692
IMG_20100101_022648.jpg,0.904865026473999,0.48949411511421204
IMG_20180811_083858.jpg,0.9045290946960449,0.0
IMG_20100101_031805.jpg,0.9225890040397644,0.9450492262840271
IMG_20180724_150758.jpg,0.8905137181282043,0.8262491822242737
IMG_20180723_145326.jpg,0.813210129737854,0.8190189003944397
IMG_20180714_103808.jpg,0.8510921001434326,0.9420056939125061
IMG_20180721_090151.jpg,0.7162060737609863,0.7846267819404602
IMG_1251.jpg,0.5961775183677673,0.6172609329223633
IMG_20180724_121832.jpg,0.8510447144508362,0.0
IMG_20180723_145121.jpg,0.8758100867271423,0.9845721125602722
IMG_20180719_143627.jpg,0.8686310648918152,0.8252487182617188
IMG_20180724_150507.jpg,0.9264289736747742,0.8283180594444275
IMG_20180720_142751.jpg,0.8700454235076904,0.9128638505935669
IMG_20180724_120949.jpg,0.502501368522644,0.8594706654548645
IMG_20180811_083958.jpg,0.3621876537799835,0.9712046384811401
IMG_20180724_123854.jpg,0.8723171949386597,0.762811005115509
IMG_20180725_114304.jpg,0.9000629186630249,0.8985844254493713
IMG_20180720_141301.jpg,0.8747803568840027,0.9441421031951904
IMG_20180717_095144.jpg,0.8437872529029846,0.030340023338794708
IMG_20180720_123553.jpg,0.8918135762214661,0.4642101228237152
IMG_20100101_023139.jpg,0.8665635585784912,0.8754696846008301
IMG_20180717_122331.jpg,0.9069550037384033,0.0
IMG_20100101_033117.jpg,0.912469744682312,0.8809759616851807
IMG_20180724_150928.jpg,0.9148648381233215,0.9311001300811768
IMG_20180721_090506.jpg,0.9476944208145142,0.937162458896637
IMG_20180723_124006.jpg,0.6718742251396179,0.9053932428359985
IMG_20180725_121940.jpg,0.8609947562217712,0.8532343506813049
IMG_20180719_142631.jpg,0.829893946647644,0.4001704454421997
IMG_20180721_090501.jpg,0.6395963430404663,0.011575231328606606
IMG_1302.jpg,0.310446172952652,0.7346166968345642
IMG_20180723_123915.jpg,0.7649137377738953,0.0
IMG_1261.jpg,0.6528562903404236,0.09556998312473297
IMG_20180725_120143.jpg,0.0,0.0
IMG_20100101_031404.jpg,0.8041239976882935,0.9463340640068054
IMG_20180725_122231.jpg,0.918911874294281,0.8932040333747864
IMG_20180720_142111.jpg,0.7010935544967651,0.45276951789855957
IMG_20180724_121144.jpg,0.8693876266479492,0.768774688243866
IMG_20180714_102857.jpg,0.6436803340911865,0.051356539130210876
